Bulan,Child_Porn,Criminal,Hoax,Pemalsuan_Dokumen,Pemerasan,Pengancaman,Penghinaan_Pencemaran,Penistaan_Agama,Penjualan_narkoba_illegal_di_internet,Perdagangan_Hewan_yang_Dilindungi,Perdagangan_Orang,Perjudian,Provokasi_Penghasutan
Feb-20,0,7,5,5,17,44,58,2,2,0,0,312,2
Mar-20,1,2,23,7,25,40,126,5,3,0,0,763,21
Apr-20,1,3,30,15,60,86,174,10,1,0,3,720,21
May-20,3,3,20,8,75,75,112,16,0,0,1,682,24
Jun-20,9,3,28,18,38,63,117,7,0,0,2,637,15
Jul-20,10,2,18,16,65,85,147,13,3,0,2,588,11
Aug-20,10,1,16,8,45,73,114,2,3,0,1,508,8
Sep-20,4,7,16,16,76,110,128,11,1,0,3,823,11
Oct-20,2,8,40,17,84,98,178,5,1,0,0,620,26
Nov-20,2,1,24,32,97,93,144,12,2,0,0,571,7
Dec-20,1,4,31,27,145,115,149,11,0,0,2,682,21
Jan-21,4,5,46,24,116,134,176,9,0,2,1,685,12
Feb-21,12,1,29,21,151,140,157,8,3,0,0,701,18
Mar-21,1,11,46,26,162,233,263,29,2,1,2,781,31
Apr-21,8,7,37,31,192,207,283,23,1,0,4,904,23
May-21,4,5,44,34,175,188,258,22,4,0,2,966,30
Jun-21,5,8,26,25,152,233,231,9,1,2,1,564,16
Jul-21,7,3,47,46,226,579,496,6,2,0,1,0,36
Aug-21,7,4,39,36,186,540,526,6,1,1,0,0,11
Sep-21,8,8,47,47,256,877,741,11,0,0,3,0,13
Oct-21,10,22,26,34,313,1278,637,4,3,0,1,0,15
Nov-21,5,21,21,42,251,661,247,8,2,0,1,0,14
Dec-21,1,6,6,10,67,206,65,3,1,0,0,0,1
Feb-22,0,3,0,0,13,39,24,0,0,0,0,45,1
Mar-22,1,11,0,1,105,318,142,0,0,0,0,323,3
Apr-22,2,8,0,7,106,301,124,7,0,0,1,282,7
May-22,0,20,3,5,124,394,105,0,1,0,1,244,4
Jun-22,0,7,3,8,92,357,134,1,0,0,1,280,2
Jul-22,0,4,2,6,70,289,104,0,0,0,0,218,2
